Key,Summary,Description,Type,Priority,Component,Test Mode
VWO-02508,Verify Disaster Recovery : User is able to create new campaign,"
Description:
As a VWO user
I want to verify that Disaster Recovery functionality works correctly
So that I can able to create new campaign

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Disaster Recovery section
2. Perform action: able to create new campaign
3. Verify the result

Expected Result: User is redirected to dashboard

Related Jira: VWO-6641
Story Points: 4
Estimate: 7 hours
",Regression,Critical,Performance,Automated
VWO-02509,Verify Save Draft : User is able to configure traffic allocation,"
Description:
As a VWO user
I want to verify that Save Draft functionality works correctly
So that I can able to configure traffic allocation

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Save Draft section
2. Perform action: able to configure traffic allocation
3. Verify the result

Expected Result: Analytics are displayed

Related Jira: VWO-8073
Story Points: 2
Estimate: 1 hours
",Regression,Critical,Integrations,Automated
VWO-02510,Verify Cross Domain Tracking : User is correctly displays heatmap data,"
Description:
As a VWO user
I want to verify that Cross Domain Tracking functionality works correctly
So that I can correctly displays heatmap data

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Cross Domain Tracking section
2. Perform action: correctly displays heatmap data
3. Verify the result

Expected Result: User segment is applied

Related Jira: VWO-6615
Story Points: 1
Estimate: 8 hours
",Smoke,Major,Integrations,Manual
VWO-02511,Verify Page Load Speed : User is able to view analytics,"
Description:
As a VWO user
I want to verify that Page Load Speed functionality works correctly
So that I can able to view analytics

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Page Load Speed section
2. Perform action: able to view analytics
3. Verify the result

Expected Result: Heatmap is generated

Related Jira: VWO-2556
Story Points: 3
Estimate: 5 hours
",Regression,Critical,Integrations,Manual
VWO-02512,Verify Save Draft : User is shows confirmation dialogs,"
Description:
As a VWO user
I want to verify that Save Draft functionality works correctly
So that I can shows confirmation dialogs

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Save Draft section
2. Perform action: shows confirmation dialogs
3. Verify the result

Expected Result: Success message is displayed

Related Jira: VWO-8122
Story Points: 4
Estimate: 8 hours
",Non-Functional,Blocker,Security,Automated
VWO-02513,Verify UTM Parameters : User is correctly tracks revenue,"
Description:
As a VWO user
I want to verify that UTM Parameters functionality works correctly
So that I can correctly tracks revenue

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to UTM Parameters section
2. Perform action: correctly tracks revenue
3. Verify the result

Expected Result: User is logged in successfully

Related Jira: VWO-1025
Story Points: 12
Estimate: 4 hours
",Security,Critical,Editor,Manual
VWO-02514,Verify 2FA : User is able to configure notifications,"
Description:
As a VWO user
I want to verify that 2FA functionality works correctly
So that I can able to configure notifications

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to 2FA section
2. Perform action: able to configure notifications
3. Verify the result

Expected Result: Notification is sent

Related Jira: VWO-6858
Story Points: 3
Estimate: 8 hours
",Functional,Major,Dashboard,Manual
VWO-02515,Verify Experiment Goals : User is properly validates input fields,"
Description:
As a VWO user
I want to verify that Experiment Goals functionality works correctly
So that I can properly validates input fields

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Experiment Goals section
2. Perform action: properly validates input fields
3. Verify the result

Expected Result: Conversion is recorded

Related Jira: VWO-7415
Story Points: 8
Estimate: 3 hours
",Functional,Blocker,Performance,Automated
VWO-02516,Verify Single Page App : User is able to export reports,"
Description:
As a VWO user
I want to verify that Single Page App functionality works correctly
So that I can able to export reports

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Single Page App section
2. Perform action: able to export reports
3. Verify the result

Expected Result: Role permissions are applied

Related Jira: VWO-1174
Story Points: 13
Estimate: 3 hours
",UX,Major,Integrations,Automated
VWO-02517,Verify Load Template : User is correctly applies targeting,"
Description:
As a VWO user
I want to verify that Load Template functionality works correctly
So that I can correctly applies targeting

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Load Template section
2. Perform action: correctly applies targeting
3. Verify the result

Expected Result: Analytics are displayed

Related Jira: VWO-2986
Story Points: 5
Estimate: 4 hours
",UX,Minor,Integrations,Manual
VWO-02518,Verify Custom Variables : User is able to configure traffic allocation,"
Description:
As a VWO user
I want to verify that Custom Variables functionality works correctly
So that I can able to configure traffic allocation

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Custom Variables section
2. Perform action: able to configure traffic allocation
3. Verify the result

Expected Result: Statistical significance is calculated

Related Jira: VWO-9156
Story Points: 7
Estimate: 6 hours
",Smoke,Minor,Performance,Automated
VWO-02519,Verify Reports : User is able to set campaign goals,"
Description:
As a VWO user
I want to verify that Reports functionality works correctly
So that I can able to set campaign goals

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Reports section
2. Perform action: able to set campaign goals
3. Verify the result

Expected Result: Targeting rules are applied

Related Jira: VWO-4408
Story Points: 7
Estimate: 5 hours
",Security,Minor,Performance,Automated
VWO-02520,Verify Preview Mode : User is able to create user segments,"
Description:
As a VWO user
I want to verify that Preview Mode functionality works correctly
So that I can able to create user segments

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Preview Mode section
2. Perform action: able to create user segments
3. Verify the result

Expected Result: Dashboard loads correctly

Related Jira: VWO-1455
Story Points: 3
Estimate: 3 hours
",Performance,Major,Performance,Automated
VWO-02521,Verify Dynamic Content : User is correctly tracks revenue,"
Description:
As a VWO user
I want to verify that Dynamic Content functionality works correctly
So that I can correctly tracks revenue

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Dynamic Content section
2. Perform action: correctly tracks revenue
3. Verify the result

Expected Result: Statistical significance is calculated

Related Jira: VWO-3848
Story Points: 8
Estimate: 1 hours
",UX,Critical,API,Automated
VWO-02522,Verify Dynamic Content : User is able to edit existing campaign,"
Description:
As a VWO user
I want to verify that Dynamic Content functionality works correctly
So that I can able to edit existing campaign

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Dynamic Content section
2. Perform action: able to edit existing campaign
3. Verify the result

Expected Result: Success message is displayed

Related Jira: VWO-2189
Story Points: 4
Estimate: 3 hours
",UX,Blocker,Analytics,Automated
VWO-02523,Verify Heatmaps : User is correctly applies targeting,"
Description:
As a VWO user
I want to verify that Heatmaps functionality works correctly
So that I can correctly applies targeting

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Heatmaps section
2. Perform action: correctly applies targeting
3. Verify the result

Expected Result: Data is exported successfully

Related Jira: VWO-5539
Story Points: 1
Estimate: 4 hours
",Regression,Trivial,Editor,Automated
VWO-02524,Verify Scroll Maps : User is able to invite team members,"
Description:
As a VWO user
I want to verify that Scroll Maps functionality works correctly
So that I can able to invite team members

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Scroll Maps section
2. Perform action: able to invite team members
3. Verify the result

Expected Result: Data is exported successfully

Related Jira: VWO-6922
Story Points: 3
Estimate: 2 hours
",Non-Functional,Major,Dashboard,Manual
VWO-02525,Verify Undo Changes : User is correctly calculates statistical significance,"
Description:
As a VWO user
I want to verify that Undo Changes functionality works correctly
So that I can correctly calculates statistical significance

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Undo Changes section
2. Perform action: correctly calculates statistical significance
3. Verify the result

Expected Result: Integration works correctly

Related Jira: VWO-9538
Story Points: 8
Estimate: 1 hours
",Non-Functional,Minor,Core,Automated
VWO-02526,Verify Scroll Maps : User is able to assign roles to users,"
Description:
As a VWO user
I want to verify that Scroll Maps functionality works correctly
So that I can able to assign roles to users

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Scroll Maps section
2. Perform action: able to assign roles to users
3. Verify the result

Expected Result: Dashboard loads correctly

Related Jira: VWO-3859
Story Points: 13
Estimate: 2 hours
",Functional,Minor,Performance,Automated
VWO-02527,Verify Angular Support : User is able to create new campaign,"
Description:
As a VWO user
I want to verify that Angular Support functionality works correctly
So that I can able to create new campaign

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Angular Support section
2. Perform action: able to create new campaign
3. Verify the result

Expected Result: Correct content is shown

Related Jira: VWO-8773
Story Points: 3
Estimate: 7 hours
",Smoke,Critical,Editor,Manual
VWO-02528,Verify Export Variations : User is properly handles session expiry,"
Description:
As a VWO user
I want to verify that Export Variations functionality works correctly
So that I can properly handles session expiry

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Export Variations section
2. Perform action: properly handles session expiry
3. Verify the result

Expected Result: Scroll depth is measured

Related Jira: VWO-3591
Story Points: 13
Estimate: 3 hours
",UX,Blocker,Analytics,Automated
VWO-02529,Verify Disaster Recovery : User is correctly tracks conversions,"
Description:
As a VWO user
I want to verify that Disaster Recovery functionality works correctly
So that I can correctly tracks conversions

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Disaster Recovery section
2. Perform action: correctly tracks conversions
3. Verify the result

Expected Result: User is logged in successfully

Related Jira: VWO-1101
Story Points: 2
Estimate: 1 hours
",Non-Functional,Critical,Mobile,Automated
VWO-02530,Verify SSO Login : User is shows correct validation errors,"
Description:
As a VWO user
I want to verify that SSO Login functionality works correctly
So that I can shows correct validation errors

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to SSO Login section
2. Perform action: shows correct validation errors
3. Verify the result

Expected Result: Webhook is triggered correctly

Related Jira: VWO-2590
Story Points: 12
Estimate: 7 hours
",Functional,Critical,Analytics,Automated
VWO-02531,Verify Team Members : User is able to assign roles to users,"
Description:
As a VWO user
I want to verify that Team Members functionality works correctly
So that I can able to assign roles to users

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Team Members section
2. Perform action: able to assign roles to users
3. Verify the result

Expected Result: Integration works correctly

Related Jira: VWO-8227
Story Points: 3
Estimate: 3 hours
",Integration,Blocker,Dashboard,Manual
VWO-02532,Verify Single Page App : User is properly handles session expiry,"
Description:
As a VWO user
I want to verify that Single Page App functionality works correctly
So that I can properly handles session expiry

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Single Page App section
2. Perform action: properly handles session expiry
3. Verify the result

Expected Result: User segment is applied

Related Jira: VWO-7347
Story Points: 3
Estimate: 5 hours
",Security,Minor,Editor,Automated
VWO-02533,Verify Pause Campaign : User is correctly saves campaign changes,"
Description:
As a VWO user
I want to verify that Pause Campaign functionality works correctly
So that I can correctly saves campaign changes

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Pause Campaign section
2. Perform action: correctly saves campaign changes
3. Verify the result

Expected Result: Integration works correctly

Related Jira: VWO-7437
Story Points: 3
Estimate: 6 hours
",Non-Functional,Blocker,Core,Automated
VWO-02534,Verify Iframe Compatibility : User is successfully handles high traffic,"
Description:
As a VWO user
I want to verify that Iframe Compatibility functionality works correctly
So that I can successfully handles high traffic

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Iframe Compatibility section
2. Perform action: successfully handles high traffic
3. Verify the result

Expected Result: Heatmap is generated

Related Jira: VWO-6059
Story Points: 2
Estimate: 8 hours
",Functional,Trivial,Editor,Automated
VWO-02535,Verify Form Submissions : User is correctly tracks conversions,"
Description:
As a VWO user
I want to verify that Form Submissions functionality works correctly
So that I can correctly tracks conversions

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Form Submissions section
2. Perform action: correctly tracks conversions
3. Verify the result

Expected Result: Goals are tracked correctly

Related Jira: VWO-1802
Story Points: 11
Estimate: 2 hours
",Performance,Critical,Editor,Manual
VWO-02536,Verify Data Processing : User is able to configure traffic allocation,"
Description:
As a VWO user
I want to verify that Data Processing functionality works correctly
So that I can able to configure traffic allocation

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Data Processing section
2. Perform action: able to configure traffic allocation
3. Verify the result

Expected Result: Conversion is recorded

Related Jira: VWO-7955
Story Points: 9
Estimate: 6 hours
",Non-Functional,Blocker,Security,Automated
VWO-02537,Verify Import Variations : User is shows correct validation errors,"
Description:
As a VWO user
I want to verify that Import Variations functionality works correctly
So that I can shows correct validation errors

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Import Variations section
2. Perform action: shows correct validation errors
3. Verify the result

Expected Result: Targeting rules are applied

Related Jira: VWO-8377
Story Points: 13
Estimate: 5 hours
",Regression,Critical,Core,Manual
VWO-02538,Verify Power Analyzer : User is able to export reports,"
Description:
As a VWO user
I want to verify that Power Analyzer functionality works correctly
So that I can able to export reports

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Power Analyzer section
2. Perform action: able to export reports
3. Verify the result

Expected Result: Success message is displayed

Related Jira: VWO-4024
Story Points: 8
Estimate: 2 hours
",Smoke,Critical,Integrations,Automated
VWO-02539,Verify Revenue Tracking : User is correctly displays heatmap data,"
Description:
As a VWO user
I want to verify that Revenue Tracking functionality works correctly
So that I can correctly displays heatmap data

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Revenue Tracking section
2. Perform action: correctly displays heatmap data
3. Verify the result

Expected Result: Error message is displayed

Related Jira: VWO-9589
Story Points: 9
Estimate: 3 hours
",Smoke,Blocker,Mobile,Manual
VWO-02540,Verify Mobile Responsiveness : User is able to set campaign goals,"
Description:
As a VWO user
I want to verify that Mobile Responsiveness functionality works correctly
So that I can able to set campaign goals

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Mobile Responsiveness section
2. Perform action: able to set campaign goals
3. Verify the result

Expected Result: Statistical significance is calculated

Related Jira: VWO-1547
Story Points: 12
Estimate: 4 hours
",Security,Critical,Core,Automated
VWO-02541,Verify HIPAA Compliance : User is correctly displays dashboard,"
Description:
As a VWO user
I want to verify that HIPAA Compliance functionality works correctly
So that I can correctly displays dashboard

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to HIPAA Compliance section
2. Perform action: correctly displays dashboard
3. Verify the result

Expected Result: Heatmap is generated

Related Jira: VWO-9685
Story Points: 6
Estimate: 6 hours
",Smoke,Trivial,Analytics,Manual
VWO-02542,Verify Team Members : User is shows correct validation errors,"
Description:
As a VWO user
I want to verify that Team Members functionality works correctly
So that I can shows correct validation errors

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Team Members section
2. Perform action: shows correct validation errors
3. Verify the result

Expected Result: Success message is displayed

Related Jira: VWO-2720
Story Points: 12
Estimate: 8 hours
",Non-Functional,Critical,Mobile,Automated
VWO-02543,Verify Data Migration : User is correctly tracks revenue,"
Description:
As a VWO user
I want to verify that Data Migration functionality works correctly
So that I can correctly tracks revenue

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Data Migration section
2. Perform action: correctly tracks revenue
3. Verify the result

Expected Result: Team member receives invitation

Related Jira: VWO-7919
Story Points: 10
Estimate: 8 hours
",Regression,Minor,Dashboard,Automated
VWO-02544,Verify Scroll Maps : User is correctly tracks revenue,"
Description:
As a VWO user
I want to verify that Scroll Maps functionality works correctly
So that I can correctly tracks revenue

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Scroll Maps section
2. Perform action: correctly tracks revenue
3. Verify the result

Expected Result: Webhook is triggered correctly

Related Jira: VWO-5067
Story Points: 2
Estimate: 3 hours
",Smoke,Trivial,Performance,Automated
VWO-02545,Verify Visual Editor : User is correctly shows variations to users,"
Description:
As a VWO user
I want to verify that Visual Editor functionality works correctly
So that I can correctly shows variations to users

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Visual Editor section
2. Perform action: correctly shows variations to users
3. Verify the result

Expected Result: Data is displayed correctly

Related Jira: VWO-6922
Story Points: 6
Estimate: 1 hours
",Performance,Critical,Editor,Automated
VWO-02546,Verify Resume Campaign : User is able to configure notifications,"
Description:
As a VWO user
I want to verify that Resume Campaign functionality works correctly
So that I can able to configure notifications

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Resume Campaign section
2. Perform action: able to configure notifications
3. Verify the result

Expected Result: Goals are tracked correctly

Related Jira: VWO-3052
Story Points: 11
Estimate: 1 hours
",Non-Functional,Major,Dashboard,Automated
VWO-02547,Verify Data Retention : User is properly handles network errors,"
Description:
As a VWO user
I want to verify that Data Retention functionality works correctly
So that I can properly handles network errors

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Data Retention section
2. Perform action: properly handles network errors
3. Verify the result

Expected Result: Statistical significance is calculated

Related Jira: VWO-1149
Story Points: 3
Estimate: 1 hours
",Security,Minor,Mobile,Automated
VWO-02548,Verify Session Recordings : User is correctly records user sessions,"
Description:
As a VWO user
I want to verify that Session Recordings functionality works correctly
So that I can correctly records user sessions

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Session Recordings section
2. Perform action: correctly records user sessions
3. Verify the result

Expected Result: Campaign changes are saved

Related Jira: VWO-2286
Story Points: 12
Estimate: 7 hours
",Integration,Critical,Performance,Automated
VWO-02549,Verify Team Members : User is able to create new campaign,"
Description:
As a VWO user
I want to verify that Team Members functionality works correctly
So that I can able to create new campaign

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Team Members section
2. Perform action: able to create new campaign
3. Verify the result

Expected Result: Data is displayed correctly

Related Jira: VWO-9108
Story Points: 9
Estimate: 4 hours
",Integration,Blocker,Dashboard,Automated
VWO-02550,Verify Login : User is correctly records user sessions,"
Description:
As a VWO user
I want to verify that Login functionality works correctly
So that I can correctly records user sessions

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Login section
2. Perform action: correctly records user sessions
3. Verify the result

Expected Result: Statistical significance is calculated

Related Jira: VWO-2775
Story Points: 3
Estimate: 3 hours
",Functional,Major,Mobile,Automated
VWO-02551,Verify Subdomain Tracking : User is properly handles session expiry,"
Description:
As a VWO user
I want to verify that Subdomain Tracking functionality works correctly
So that I can properly handles session expiry

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Subdomain Tracking section
2. Perform action: properly handles session expiry
3. Verify the result

Expected Result: Statistical significance is calculated

Related Jira: VWO-9263
Story Points: 2
Estimate: 4 hours
",Functional,Minor,Dashboard,Manual
VWO-02552,Verify Banner : User is able to configure traffic allocation,"
Description:
As a VWO user
I want to verify that Banner functionality works correctly
So that I can able to configure traffic allocation

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Banner section
2. Perform action: able to configure traffic allocation
3. Verify the result

Expected Result: Team member receives invitation

Related Jira: VWO-9319
Story Points: 10
Estimate: 7 hours
",Performance,Minor,Performance,Automated
VWO-02553,Verify Templates : User is able to integrate with API,"
Description:
As a VWO user
I want to verify that Templates functionality works correctly
So that I can able to integrate with API

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Templates section
2. Perform action: able to integrate with API
3. Verify the result

Expected Result: Webhook is triggered correctly

Related Jira: VWO-4027
Story Points: 9
Estimate: 8 hours
",Security,Trivial,Analytics,Automated
VWO-02554,Verify Subdomain Tracking : User is properly handles session expiry,"
Description:
As a VWO user
I want to verify that Subdomain Tracking functionality works correctly
So that I can properly handles session expiry

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Subdomain Tracking section
2. Perform action: properly handles session expiry
3. Verify the result

Expected Result: Variation is displayed correctly

Related Jira: VWO-7811
Story Points: 12
Estimate: 2 hours
",Performance,Blocker,Mobile,Automated
VWO-02555,Verify Scroll Depth : User is able to integrate with API,"
Description:
As a VWO user
I want to verify that Scroll Depth functionality works correctly
So that I can able to integrate with API

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Scroll Depth section
2. Perform action: able to integrate with API
3. Verify the result

Expected Result: User is redirected to dashboard

Related Jira: VWO-8783
Story Points: 9
Estimate: 3 hours
",Security,Critical,Editor,Automated
VWO-02556,Verify Multivariate Test : User is able to login with invalid credentials,"
Description:
As a VWO user
I want to verify that Multivariate Test functionality works correctly
So that I can able to login with invalid credentials

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Multivariate Test section
2. Perform action: able to login with invalid credentials
3. Verify the result

Expected Result: Notification is sent

Related Jira: VWO-3326
Story Points: 7
Estimate: 3 hours
",UX,Major,API,Manual
VWO-02557,Verify Modal Dialog : User is correctly tracks conversions,"
Description:
As a VWO user
I want to verify that Modal Dialog functionality works correctly
So that I can correctly tracks conversions

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Modal Dialog section
2. Perform action: correctly tracks conversions
3. Verify the result

Expected Result: Notification is sent

Related Jira: VWO-3151
Story Points: 7
Estimate: 5 hours
",Non-Functional,Major,Analytics,Automated
VWO-02558,Verify Duration Calculator : User is able to edit existing campaign,"
Description:
As a VWO user
I want to verify that Duration Calculator functionality works correctly
So that I can able to edit existing campaign

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Duration Calculator section
2. Perform action: able to edit existing campaign
3. Verify the result

Expected Result: Integration works correctly

Related Jira: VWO-5369
Story Points: 1
Estimate: 4 hours
",Non-Functional,Trivial,Security,Manual
VWO-02559,Verify Geographic Targeting : User is correctly records user sessions,"
Description:
As a VWO user
I want to verify that Geographic Targeting functionality works correctly
So that I can correctly records user sessions

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Geographic Targeting section
2. Perform action: correctly records user sessions
3. Verify the result

Expected Result: Scroll depth is measured

Related Jira: VWO-7759
Story Points: 7
Estimate: 8 hours
",Functional,Critical,API,Automated
VWO-02560,Verify 注意力 Maps : User is correctly applies targeting,"
Description:
As a VWO user
I want to verify that 注意力 Maps functionality works correctly
So that I can correctly applies targeting

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to 注意力 Maps section
2. Perform action: correctly applies targeting
3. Verify the result

Expected Result: User is shown error message

Related Jira: VWO-5564
Story Points: 1
Estimate: 3 hours
",Non-Functional,Blocker,API,Manual
VWO-02561,Verify Lazy Loading : User is able to set targeting rules,"
Description:
As a VWO user
I want to verify that Lazy Loading functionality works correctly
So that I can able to set targeting rules

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Lazy Loading section
2. Perform action: able to set targeting rules
3. Verify the result

Expected Result: Scroll depth is measured

Related Jira: VWO-4429
Story Points: 11
Estimate: 3 hours
",Non-Functional,Trivial,Core,Manual
VWO-02562,Verify Cookie Targeting : User is able to login with valid credentials,"
Description:
As a VWO user
I want to verify that Cookie Targeting functionality works correctly
So that I can able to login with valid credentials

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Cookie Targeting section
2. Perform action: able to login with valid credentials
3. Verify the result

Expected Result: Data is displayed correctly

Related Jira: VWO-9634
Story Points: 5
Estimate: 8 hours
",Functional,Blocker,Integrations,Automated
VWO-02563,Verify Feedback : User is correctly tracks scroll depth,"
Description:
As a VWO user
I want to verify that Feedback functionality works correctly
So that I can correctly tracks scroll depth

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Feedback section
2. Perform action: correctly tracks scroll depth
3. Verify the result

Expected Result: User is redirected to dashboard

Related Jira: VWO-1638
Story Points: 11
Estimate: 4 hours
",Smoke,Critical,Mobile,Manual
VWO-02564,Verify Resume Campaign : User is able to create new campaign,"
Description:
As a VWO user
I want to verify that Resume Campaign functionality works correctly
So that I can able to create new campaign

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Resume Campaign section
2. Perform action: able to create new campaign
3. Verify the result

Expected Result: Scroll depth is measured

Related Jira: VWO-9187
Story Points: 10
Estimate: 3 hours
",Security,Major,Analytics,Automated
VWO-02565,Verify Heatmaps : User is able to set targeting rules,"
Description:
As a VWO user
I want to verify that Heatmaps functionality works correctly
So that I can able to set targeting rules

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Heatmaps section
2. Perform action: able to set targeting rules
3. Verify the result

Expected Result: Integration works correctly

Related Jira: VWO-7262
Story Points: 3
Estimate: 5 hours
",Non-Functional,Major,Mobile,Manual
VWO-02566,Verify SSO Login : User is correctly shows variations to users,"
Description:
As a VWO user
I want to verify that SSO Login functionality works correctly
So that I can correctly shows variations to users

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to SSO Login section
2. Perform action: correctly shows variations to users
3. Verify the result

Expected Result: Data is exported successfully

Related Jira: VWO-4459
Story Points: 3
Estimate: 5 hours
",Performance,Major,Dashboard,Manual
VWO-02567,Verify Templates : User is able to create new campaign,"
Description:
As a VWO user
I want to verify that Templates functionality works correctly
So that I can able to create new campaign

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Templates section
2. Perform action: able to create new campaign
3. Verify the result

Expected Result: Dashboard loads correctly

Related Jira: VWO-8581
Story Points: 10
Estimate: 3 hours
",Regression,Blocker,Mobile,Manual
VWO-02568,Verify Revenue Tracking : User is correctly tracks revenue,"
Description:
As a VWO user
I want to verify that Revenue Tracking functionality works correctly
So that I can correctly tracks revenue

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Revenue Tracking section
2. Perform action: correctly tracks revenue
3. Verify the result

Expected Result: User is logged in successfully

Related Jira: VWO-1619
Story Points: 10
Estimate: 3 hours
",Regression,Major,Core,Automated
VWO-02569,Verify Geographic Targeting : User is correctly tracks revenue,"
Description:
As a VWO user
I want to verify that Geographic Targeting functionality works correctly
So that I can correctly tracks revenue

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Geographic Targeting section
2. Perform action: correctly tracks revenue
3. Verify the result

Expected Result: User is redirected to dashboard

Related Jira: VWO-4194
Story Points: 8
Estimate: 2 hours
",Regression,Critical,Integrations,Manual
VWO-02570,Verify Vue Support : User is properly validates input fields,"
Description:
As a VWO user
I want to verify that Vue Support functionality works correctly
So that I can properly validates input fields

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Vue Support section
2. Perform action: properly validates input fields
3. Verify the result

Expected Result: Campaign changes are saved

Related Jira: VWO-8214
Story Points: 8
Estimate: 8 hours
",Integration,Critical,Editor,Manual
VWO-02571,Verify Cookie Targeting : User is able to login with valid credentials,"
Description:
As a VWO user
I want to verify that Cookie Targeting functionality works correctly
So that I can able to login with valid credentials

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Cookie Targeting section
2. Perform action: able to login with valid credentials
3. Verify the result

Expected Result: User is redirected to dashboard

Related Jira: VWO-3900
Story Points: 2
Estimate: 6 hours
",Non-Functional,Critical,Integrations,Manual
VWO-02572,Verify Modal Dialog : User is shows correct validation errors,"
Description:
As a VWO user
I want to verify that Modal Dialog functionality works correctly
So that I can shows correct validation errors

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Modal Dialog section
2. Perform action: shows correct validation errors
3. Verify the result

Expected Result: User is logged in successfully

Related Jira: VWO-9420
Story Points: 8
Estimate: 8 hours
",Functional,Blocker,Core,Manual
